ticker,company,sector,industry,country,market_cap,pe,ps,pb,p_free_cash_flow,dividend_yield,performance_half_year,price,evebitda,bb,pe_rank,ps_rank,pb_rank,pfcf_rank,bby,shy,shy_rank,evebitda_rank,rank,ovr_rank
LLTC,Linear Technology Corporation,Technology,Semiconductor - Specialized,USA,9250000000.0,18.1,6.27,5.99,35.83,3.11,-18.44,38.55,0.0,91876000,42.77012711864407,18.564618644067796,13.3739406779661,17.902542372881356,-0.9932540540540541,2.116745945945946,63.90360169491526,46.6268146883006,203.1416451967752,14.115466101694915
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - Major,USA,93700000000.0,43.8,4.78,6.12,278.39,2.37,20.45,84.53,0.0,1035500000,12.182203389830509,25.847457627118644,12.84427966101695,1.7743644067796611,-1.1051227321237993,1.2648772678762008,56.83262711864406,46.598348989467695,156.0792811928575,4.899364406779661
LM,Legg Mason Inc.,Financial,Asset Management,USA,5060000000.0,20.13,1.78,1.11,18.19,1.74,-20.88,46.09,0.0,315621000,37.12923728813559,54.581567796610166,74.04661016949152,35.27542372881356,-6.237569169960475,-4.4975691699604745,7.574152542372882,46.569883290634785,255.1768748160585,29.60805084745763
LMAT,"LeMaitre Vascular, Inc.",Healthcare,Medical Instruments & Supplies,USA,238690000.0,39.62,3.18,3.37,48.71,1.19,72.91,13.47,0.0,-1000000,14.30084745762712,37.89724576271186,28.91949152542373,12.367584745762713,0.4189534542712305,1.6089534542712305,59.931144067796616,46.54141759180188,199.95773115112394,13.3739406779661
LMCA,Liberty Media Corporation,Services,Broadcasting - TV,USA,11990000000.0,83.84,2.62,1.1,11.74,0.0,-6.73,36.05,0.0,2412000000,5.190677966101695,43.80296610169492,74.47033898305084,44.99470338983051,-20.11676396997498,-20.11676396997498,0.423728813559322,46.51295189296897,215.39536714720626,16.922669491525426
LMCK,Liberty Media Corporation,Services,Entertainment - Diversified,USA,7930000000.0,82.51,1.73,1.07,0.0,0.0,-8.44,35.48,0.0,5.323093220338983,55.561440677966104,75.63559322033898,79.29025423728814,0.0,36.17584745762712,46.48448619413607,298.4707150076954,48.516949152542374
LMNR,Limoneira Company,Consumer Goods,Farm Products,USA,267010000.0,42.02,2.45,2.24,0.0,0.95,-8.96,18.91,0.0,276000,13.16207627118644,45.41843220338983,44.99470338983051,79.63453389830508,-0.10336691509681285,0.8466330849031871,52.065677966101696,46.45602049530316,281.73144422411673,40.83686440677966
LMNS,Lumenis Ltd.,Healthcare,Medical Appliances & Equipment,Israel,501820000.0,28.41,1.72,4.88,88.04,0.0,24.84,13.92,0.0,0,22.53707627118644,56.03813559322034,17.84957627118644,6.038135593220339,-0.0,0.0,36.14936440677966,46.427554796470254,185.03984293206346,9.82521186440678
LMNX,Luminex Corporation,Healthcare,Medical Instruments & Supplies,USA,795130000.0,20.3,3.44,2.34,22.4,0.0,13.94,18.47,0.0,-1979000,36.70550847457627,35.222457627118644,42.77012711864407,29.528601694915253,0.248890118596959,0.248890118596959,43.19385593220339,46.399089097637344,233.819639945095,22.272245762711865
LMOS,Lumos Networks Corp.,Technology,Diversified Communication Services,USA,281210000.0,14.28,1.39,2.75,0.0,4.56,-31.78,12.28,0.0,-1444000,55.376059322033896,62.92372881355932,36.04343220338983,79.6875,0.5134952526581559,5.073495252658155,78.38983050847457,46.37062339880444,358.791174246262,73.17266949152543
LMT,Lockheed Martin Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,63560000000.0,18.18,1.4,21.41,256.29,2.93,1.08,204.68,0.0,2042000000,42.55826271186441,62.52648305084746,2.409957627118644,1.986228813559322,-3.212712397734424,-0.2827123977344237,21.610169491525426,46.34215769997154,177.43325939488682,8.209745762711865
LNC,Lincoln National Corporation,Financial,Life Insurance,USA,12720000000.0,9.27,0.92,0.87,4.99,1.58,-11.8,50.68,0.0,774000000,66.76377118644068,75.23834745762711,82.4947033898305,52.9396186440678,-6.084905660377358,-4.504905660377358,7.547669491525423,46.31369200113863,331.2978021706302,62.63241525423729
LNCE,"Snyder's-Lance, Inc.",Consumer Goods,Processed & Packaged Goods,USA,2410000000.0,35.54,1.43,2.21,0.0,1.88,12.99,34.12,0.0,-5944000,16.52542372881356,62.04978813559322,45.65677966101695,80.13771186440678,0.24663900414937762,2.1266390041493777,63.983050847457626,46.28522630230572,314.63798053959385,55.08474576271186
LNCO,"Linn Co, LLC",Basic Materials,Independent Oil & Gas,USA,290500000.0,0.0,0.0,0.27,78.51,55.31,-78.41,2.26,0.0,0,80.0052966101695,98.86122881355932,91.63135593220339,6.938559322033898,-0.0,55.31,99.1260593220339,46.25676060347281,422.8192606034728,93.67055084745762
LNDC,Landec Corp.,Consumer Goods,Farm Products,USA,345190000.0,25.56,0.64,1.58,40.14,0.0,-9.49,12.78,0.0,-122000,26.24470338983051,83.63347457627118,59.85169491525424,15.598516949152541,0.0353428546597526,0.0353428546597526,38.69173728813559,46.22829490463991,270.248422023284,35.56673728813559
LNG,"Cheniere Energy, Inc.",Basic Materials,Oil & Gas Pipelines,USA,14650000000.0,0.0,54.42,0.0,0.0,0.0,-16.0,61.93,0.0,-235235000,80.03177966101694,6.1440677966101696,96.68961864406779,80.29661016949152,1.6056996587030716,1.6056996587030716,59.878177966101696,46.199829205807,369.2400834430951,76.85381355932203
LNKD,LinkedIn Corporation,Technology,Internet Information Providers,USA,23400000000.0,0.0,9.14,5.49,0.0,0.0,-32.06,179.5,0.0,-235129000,80.08474576271186,13.426906779661016,15.333686440677965,80.34957627118644,1.0048247863247863,1.0048247863247863,54.44915254237288,46.171363506974096,289.81543130358426,44.67690677966102
LNN,Lindsay Corporation,Industrial Goods,Farm & Construction Machinery,USA,862580000.0,22.44,1.48,2.8,31.71,1.49,-13.67,75.4,0.0,101514000,31.48834745762712,60.9375,35.19597457627119,20.89512711864407,-11.768647545734888,-10.278647545734888,1.986228813559322,46.14289780814119,196.64607577424292,12.685381355932204
LNTH,"Lantheus Holdings, Inc.",Healthcare,Medical Appliances & Equipment,USA,226820000.0,0.0,0.75,0.0,23.38,0.0,0.0,7.35,0.0,80.11122881355932,80.45550847457628,96.74258474576271,28.469279661016948,0.0,35.83156779661017,46.11443210930828,367.7246016008337,76.40360169491525
LNT,Alliant Energy Corporation,Utilities,Electric Utilities,USA,6880000000.0,17.76,2.11,1.9,0.0,3.62,-5.0,60.73,0.0,-139500000,44.01483050847458,50.15889830508474,51.53601694915254,80.77330508474576,2.0276162790697674,5.6476162790697675,79.87288135593221,46.08596641047538,352.4418986138652,70.6302966101695
LOB,"Live Oak Bancshares, Inc.",Financial,Savings & Loans,USA,639230000.0,34.75,27.43,6.22,0.0,0.0,0.0,19.11,0.0,17.002118644067796,7.335805084745763,12.5,80.8792372881356,0.0,35.80508474576271,46.05750071164247,199.57974647435432,13.29449152542373
LOCK,"LifeLock, Inc.",Technology,Application Software,USA,768200000.0,0.0,1.44,2.22,7.24,0.0,-42.92,8.06,0.0,-15147000,80.13771186440678,61.89088983050848,45.41843220338983,51.271186440677965,1.9717521478781568,1.9717521478781568,62.84427966101694,46.029035012809565,347.5915350128096,68.90889830508475
LOCO,"El Pollo Loco Holdings, Inc.",Services,Restaurants,USA,469070000.0,10.39,1.32,2.03,52.12,0.0,-50.4,12.26,0.0,-114576000,64.80402542372882,64.4332627118644,48.54343220338983,11.573093220338983,24.42620504402328,24.42620504402328,95.84216101694916,46.000569313976655,331.1965438902478,62.55296610169492
LOGI,Logitech International SA,Technology,Computer Peripherals,Switzerland,2250000000.0,0.0,1.07,2.76,69.83,2.1,-12.65,12.84,0.0,2847000,80.16419491525424,70.89512711864407,35.88453389830508,8.103813559322035,-0.12653333333333333,1.9734666666666667,62.89724576271186,45.97210361514375,303.917018869381,50.76800847457628
LOGM,"LogMeIn, Inc.",Technology,Application Software,USA,1620000000.0,197.64,6.65,9.02,21.71,0.0,23.22,65.22,0.0,24710000,1.8802966101694913,17.478813559322035,7.4417372881355925,30.27012711864407,-1.5253086419753088,-1.5253086419753088,15.51906779661017,45.94363791631085,118.5336802891922,1.2976694915254237
LONG,eLong Inc.,Technology,Internet Software & Services,China,577080000.0,0.0,3.5,2.43,0.0,0.0,1.36,17.18,0,80.1906779661017,34.82521186440678,41.340042372881356,81.14406779661016,-0.0,0.0,35.7521186440678,50,323.2521186440678,58.871822033898304
LOPE,"Grand Canyon Education, Inc.",Services,Education & Training Services,USA,1750000000.0,14.36,2.39,3.15,0.0,0.0,-19.29,37.2,0.0,339000,55.0582627118644,46.027542372881356,31.197033898305083,81.38241525423729,-0.01937142857142857,-0.01937142857142857,24.44385593220339,45.91517221747794,284.0242823869695,41.896186440677965
LORL,"Loral Space & Communications, Inc.",Technology,Communication Equipment,USA,1200000000.0,0.0,0.0,15.39,0.0,0.0,-22.62,56.19,0.0,0,80.24364406779661,98.46398305084746,3.4163135593220337,81.5677966101695,-0.0,0.0,35.69915254237288,45.886706518645035,345.2775963491535,68.03495762711864
LOW,Lowe's Companies Inc.,Services,Home Improvement Stores,USA,66319999999.99999,23.94,1.15,7.13,18.24,1.58,-2.84,71.11,0.0,3970000000,28.8135593220339,68.67055084745762,10.16949152542373,35.19597457627119,-5.986127864897468,-4.406127864897468,7.838983050847458,45.858240819812124,196.546800141846,12.632415254237289
LOXO,"Loxo Oncology, Inc.",Healthcare,Biotechnology,USA,291410000.0,0.0,0.0,2.84,0.0,0.0,31.38,17.46,0.0,-74406000,80.27012711864407,98.30508474576271,34.79872881355932,81.9385593220339,25.533097697402283,25.533097697402283,96.10699152542372,45.82977512097922,437.24926664640293,95.78919491525424
LPCN,Lipocine Inc.,Healthcare,Drugs - Generic,USA,250980000.0,0.0,0.0,4.35,0.0,0.0,109.12,13.76,0.0,-153000,80.29661016949152,98.17266949152543,20.842161016949152,81.96504237288136,0.06096103275161367,0.06096103275161367,39.32733050847458,45.80130942214631,366.4051229814683,75.82097457627118
LPG,Dorian LPG Ltd.,Services,Shipping,USA,706590000.0,19.63,6.51,0.78,0.0,0.0,-2.64,12.17,0.0,-96675000,38.215042372881356,17.823093220338983,85.38135593220339,82.20338983050848,13.681908886341443,13.681908886341443,90.59851694915254,45.77284372331341,359.99424202839816,73.51694915254238
LPI,"Laredo Petroleum, Inc.",Basic Materials,Independent Oil & Gas,USA,1990000000.0,93.0,2.58,1.02,0.0,0.0,-27.51,9.3,-750942000,4.608050847457627,44.253177966101696,77.27754237288136,82.41525423728814,37.73577889447236,37.73577889447236,98.01377118644068,50,356.5677966101695,72.03389830508475
LPL,"LG Display Co., Ltd.",Technology,Diversified Electronics,South Korea,6390000000.0,4.85,0.27,0.6,13.76,2.66,-43.82,8.64,0.0,0,71.1864406779661,94.51800847457628,88.6917372881356,42.16101694915254,-0.0,2.66,67.82309322033898,45.744378024480504,410.12467463465003,91.41949152542372
LPLA,LPL Financial Holdings Inc.,Financial,Investment Brokerage - National,USA,3900000000.0,22.13,0.89,4.16,18.3,2.44,-8.43,40.94,0.0,239953000,32.309322033898304,76.1917372881356,22.00741525423729,35.11652542372881,-6.152641025641026,-3.7126410256410263,9.189618644067798,45.715912325647594,220.5305309697154,18.458686440677965
LPNT,"LifePoint Health, Inc.",Healthcare,Hospitals,USA,3550000000.0,27.36,0.71,1.58,9.96,0.0,12.52,79.89,0.0,67800000,23.940677966101696,81.59427966101694,59.58686440677966,47.934322033898304,-1.9098591549295774,-1.9098591549295774,14.141949152542374,45.68744662681469,272.88553984715367,36.97033898305085
LPSN,LivePerson Inc.,Technology,Business Software & Services,USA,498520000.0,0.0,2.17,2.72,113.3,0.0,-22.7,8.72,0.0,-5146000,80.32309322033898,49.36440677966102,36.652542372881356,4.4491525423728815,1.0322554762095804,1.0322554762095804,54.84639830508474,45.65898092798178,271.29457414832075,36.20233050847458
LPT,Liberty Property Trust,Financial,REIT - Office,USA,4940000000.0,26.81,6.08,1.64,0.0,5.76,-12.42,32.98,0.0,-52112000,24.496822033898304,19.359110169491526,57.891949152542374,82.54766949152543,1.0548987854251013,6.814898785425101,82.36228813559322,45.63051522914888,312.28835421219975,54.369703389830505
LPX,Louisiana-Pacific Corp.,Services,Building Materials Wholesale,USA,2300000000.0,0.0,1.19,2.17,0.0,0.0,-6.77,16.1,0.0,-400000,80.34957627118644,67.71716101694916,46.26588983050847,82.57415254237289,0.017391304347826087,0.017391304347826087,38.08262711864407,45.602049530315966,360.59145630997693,73.62288135593221
LQ,La Quinta Holdings Inc.,Services,Resorts & Casinos,USA,2430000000.0,232.0,2.38,2.95,11.19,0.0,-14.98,18.56,0.0,4841000,1.5625,46.186440677966104,33.42161016949153,45.92161016949153,-0.19921810699588477,-0.19921810699588477,22.219279661016948,45.57358383148306,194.88502450944918,12.314618644067798
LQDT,"Liquidity Services, Inc.",Services,Catalog & Mail Order Houses,USA,227030000.0,0.0,0.52,0.87,5.69,0.0,-22.62,7.56,0.0,-247000,80.40254237288136,87.26165254237289,82.41525423728814,52.48940677966102,0.10879619433555036,0.10879619433555036,40.49258474576271,45.54511813265016,388.60655881061626,85.9375
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA,11030000000.0,18.85,2.1,2.17,23.42,1.72,-15.65,69.75,0.0,506917000,40.01588983050847,50.317796610169495,46.34533898305085,28.44279661016949,-4.595802357207615,-2.8758023572076157,11.096398305084746,45.51665243381725,221.73487277280032,18.88241525423729
LRN,"K12, Inc.",Services,Education & Training Services,USA,507860000.0,45.72,0.54,0.92,8.73,0.0,-21.45,13.26,25899000,11.520127118644067,86.41419491525424,80.58792372881356,49.68220338983051,-5.099633757334699,-5.099633757334699,6.329449152542373,50,284.53389830508473,42.21398305084746
LSCC,Lattice Semiconductor Corporation,Technology,Semiconductor - Specialized,USA,455190000.0,0.0,1.25,1.26,0.0,0.0,-39.53,3.87,0.0,12399000,80.42902542372882,66.23411016949152,69.20021186440678,82.86546610169492,-2.723917485006261,-2.723917485006261,11.414194915254237,45.488186734984346,355.63119520956064,71.68961864406779
LSG,Lake Shore Gold Corp.,Basic Materials,Gold,Canada,384270000.0,22.0,1.9,1.04,0.0,0.0,0.15,0.88,0.0,0,32.70656779661017,53.36334745762712,76.80084745762711,83.20974576271186,-0.0,0.0,35.30190677966102,45.459721036151436,326.84213629038874,60.51377118644068
LSTR,Landstar System Inc.,Services,Trucking,USA,2910000000.0,20.49,0.88,6.24,28.88,0.48,-6.38,66.79,0.0,82452000,36.14936440677966,76.35063559322035,12.473516949152543,23.19915254237288,-2.83340206185567,-2.35340206185567,12.685381355932204,45.43125533731853,206.28930618477617,14.671610169491526
LTC,LTC Properties Inc.,Financial,REIT - Healthcare Facilities,USA,1570000000.0,23.04,12.6,2.5,0.0,4.64,-0.08,44.01,0.0,-25517000,30.190677966101692,10.328389830508474,40.22775423728814,83.3156779661017,1.6252866242038218,6.265286624203822,81.25,45.40278963848562,290.7152896384856,45.10063559322034
LTRPA,"Liberty TripAdvisor Holdings, Inc.",Consumer Goods,"Recreational Goods, Other",USA,1900000000.0,0.0,1.28,2.3,6.52,0.0,-22.71,25.39,0.0,-25000000,80.53495762711864,65.59851694915254,43.64406779661017,51.9332627118644,1.3157894736842104,1.3157894736842104,57.20338983050848,45.37432393965272,344.2885188549069,67.66419491525424
LTS,Ladenburg Thalmann Financial Services Inc.,Financial,Investment Brokerage - National,USA,482300000.0,0.0,0.45,1.21,61.05,0.0,-33.5,2.6,0.0,-132014000,80.5614406779661,89.45974576271186,71.0010593220339,9.48093220338983,27.37176031515654,27.37176031515654,96.47775423728814,45.345858240819815,392.3267904442097,86.70550847457628
LTXB,LegacyTexas Financial Group Inc.,Financial,Regional - Southwest Banks,USA,1340000000.0,24.13,6.54,1.66,28.97,1.98,27.64,28.23,0.0,6906000,28.36334745762712,17.690677966101696,57.4417372881356,23.11970338983051,-0.5153731343283582,1.464626865671642,58.63347457627118,45.317392541986905,230.56633321995304,21.371822033898304
LUK,Leucadia National Corporation,Financial,Investment Brokerage - National,USA,7850000000.0,18.47,0.67,0.75,0.0,1.17,-9.94,21.42,0.0,6778000,41.41949152542373,83.1832627118644,85.9375,83.73940677966102,-0.08634394904458598,1.083656050955414,55.27012711864406,45.288926843154,394.8387149787472,87.34110169491525
LULU,Lululemon Athletica Inc.,Consumer Goods,Textile - Apparel Clothing,Canada,8760000000.0,33.13,4.77,7.68,61.66,0.0,-6.25,61.95,162106000,18.0614406779661,25.90042372881356,9.295550847457628,9.348516949152543,-1.8505251141552512,-1.8505251141552512,14.353813559322035,50,126.95974576271186,1.8008474576271187
LUV,Southwest Airlines Co.,Services,Regional Airlines,USA,25000000000.0,16.34,1.32,3.52,49.21,0.79,-14.73,37.91,0.0,1022000000,48.728813559322035,64.45974576271186,27.595338983050848,12.15572033898305,-4.088,-3.298,10.222457627118645,45.2604611443211,208.42253741550752,15.04237288135593
LUX,Luxottica Group SpA,Services,Apparel Stores,Italy,32490000000.000004,37.92,3.39,5.85,67.8,2.36,12.53,67.87,0.0,0,15.227754237288135,35.77860169491525,13.903601694915254,8.421610169491526,-0.0,2.36,65.83686440677965,45.23199544548819,184.40042764887804,9.692796610169491
LVLT,"Level 3 Communications, Inc.",Technology,Diversified Communication Services,USA,16410000000.0,53.0,2.14,2.4,45.08,0.0,-14.39,46.11,0.0,0,9.507415254237287,49.73516949152542,41.81673728813559,13.665254237288135,-0.0,0.0,35.11652542372881,45.20352974665528,195.04463144157052,12.420550847457628
LVNTA,Liberty Ventures,Services,Catalog & Mail Order Houses,USA,18320000000.0,0.0,85.99,0.0,40.25,0.0,-1.42,39.52,0.0,80.58792372881356,5.561440677966101,96.82203389830508,15.572033898305085,0.0,35.03707627118644,45.175064047822374,278.7555725223986,39.59216101694915
LVS,Las Vegas Sands Corp.,Services,Resorts & Casinos,USA,38270000000.0,16.21,2.97,5.42,75.68,5.42,-16.25,47.99,0.0,583771000,49.36440677966102,40.20127118644068,15.598516949152541,7.335805084745763,-1.5254010974653776,3.8945989025346224,74.70868644067797,45.14659834898947,232.35528478966745,21.74258474576271
LWAY,Lifeway Foods Inc.,Consumer Goods,Food - Major Diversified,USA,226940000.0,115.67,1.91,5.08,162.1,0.0,-28.56,13.88,0.0,0,3.4957627118644066,53.045550847457626,16.896186440677965,3.204449152542373,-0.0,0.0,35.01059322033898,45.11813265015656,156.7706750230379,4.978813559322034
LXFR,Luxfer Holdings PLC,Industrial Goods,Diversified Machinery,United Kingdom,343070000.0,18.45,0.71,1.97,16.98,3.14,-5.9,12.73,0.0,0,41.55190677966102,81.38241525423729,50.105932203389834,37.44703389830508,-0.0,3.14,70.76271186440678,45.08966695132365,326.33966695132364,60.11652542372882
LXFT,"Luxoft Holding, Inc.",Technology,Application Software,Switzerland,1990000000.0,31.64,3.82,9.11,903.43,0.0,22.15,60.43,0,19.6239406779661,32.46822033898305,7.36228813559322,0.3972457627118644,-0.0,0.0,34.98411016949153,50,144.83580508474574,3.3368644067796613
LXK,Lexmark International Inc.,Technology,Computer Based Systems,USA,1800000000.0,0.0,0.49,1.5,24.05,4.94,-32.42,29.16,0.0,220200000,80.61440677966102,88.58580508474576,61.67902542372882,27.33050847457627,-12.233333333333334,-7.293333333333334,3.5222457627118646,45.061201252490754,306.7931927779145,52.065677966101696
LXP,Lexington Realty Trust,Financial,REIT - Diversified,USA,2009999999.9999998,20.29,4.73,1.41,0.0,7.98,-19.51,8.52,0.0,-23558000,36.75847457627119,26.297669491525422,64.48622881355932,84.375,1.172039800995025,9.152039800995025,85.99046610169492,45.032735553657844,342.9405745367087,67.13453389830508
LXRX,"Lexicon Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1170000000.0,0.0,48.71,5.08,0.0,0.0,70.37,11.33,0.0,-201751000,80.64088983050848,6.382415254237288,16.843220338983052,84.40148305084746,17.243675213675214,17.243675213675214,92.95550847457628,45.00426985482493,326.2277868039775,60.03707627118644
LXU,LSB Industries Inc.,Basic Materials,Chemicals - Major Diversified,USA,549920000.0,150.81,0.75,1.25,0.0,0.0,-32.14,24.13,0.0,-2205000,2.5423728813559325,80.16419491525424,69.41207627118644,84.48093220338984,0.40096741344195524,0.40096741344195524,46.31885593220339,44.97580415599203,327.89423635938186,60.91101694915254
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,Netherlands,37390000000.0,8.65,0.94,4.78,10.3,3.89,-11.65,80.25,0.0,4858000000,67.77012711864407,74.52330508474576,18.326271186440678,47.378177966101696,-12.992778817865739,-9.102778817865739,2.356991525423729,44.94733845715913,255.3022113385151,29.66101694915254
LYG,Lloyds Banking Group plc,Financial,Foreign Money Center Banks,United Kingdom,84920000000.0,43.27,3.76,1.15,1.43,1.89,-1.19,4.76,0.0,0,12.526483050847459,32.9978813559322,72.64300847457628,55.190677966101696,-0.0,1.89,61.996822033898304,44.918872758326216,280.27374563968215,40.28072033898305
LYTS,LSI Industries Inc.,Industrial Goods,Industrial Electrical Equipment,USA,220830000.0,82.82,0.72,1.58,14.82,1.32,15.7,9.11,0.0,-355000,5.2701271186440675,81.11758474576271,59.50741525423729,40.4396186440678,0.1607571435040529,1.480757143504053,58.76588983050848,44.890407059493306,289.99104265271365,44.75635593220339
LYV,"Live Nation Entertainment, Inc.",Services,Entertainment - Diversified,USA,4930000000.0,0.0,0.71,3.91,33.63,0.0,-5.1,24.38,0.0,-12721000,80.66737288135593,81.43538135593221,23.914194915254235,19.465042372881356,0.25803245436105476,0.25803245436105476,43.35275423728814,44.86194136066041,293.69668712337227,46.186440677966104
LZB,La-Z-Boy Incorporated,Consumer Goods,Home Furnishings & Fixtures,USA,1400000000.0,20.4,0.97,2.68,84.49,1.15,10.11,27.74,50456000,36.49364406779661,73.64936440677965,37.36758474576271,6.302966101694915,-3.604,-2.454,12.288135593220339,50,216.10169491525426,17.08156779661017
M,"Macy's, Inc.",Services,Department Stores,USA,19910000000.0,14.58,0.71,4.1,24.92,2.43,-6.8,59.19,0.0,1625000000,54.44915254237288,81.40889830508475,22.45762711864407,26.45656779661017,-8.161727774987442,-5.7317277749874425,5.429025423728814,44.8334756618275,235.03474684826816,22.828389830508474
MA,MasterCard Incorporated,Financial,Credit Services,USA,102660000000.0,27.82,10.76,16.11,36.08,0.71,-0.13,90.68,0.0,2321000000,23.384533898305087,11.758474576271187,3.283898305084746,17.74364406779661,-2.2608610948762906,-1.5508610948762906,15.466101694915254,44.80500996299459,116.44166250536747,1.1652542372881356
MAA,Mid-America Apartment Communities Inc.,Financial,REIT - Residential,USA,6100000000.0,20.45,5.99,2.04,0.0,3.8,10.98,80.97,0.0,-2698000,36.228813559322035,19.888771186440678,48.41101694915254,84.82521186440678,0.044229508196721314,3.844229508196721,74.3114406779661,44.776544264161686,308.44179850144985,52.807203389830505
MAC,The Macerich Company,Financial,REIT - Retail,USA,12440000000.0,7.86,10.14,2.27,0.0,3.31,-5.87,78.59,0.0,60220000,68.80296610169492,12.15572033898305,44.27966101694915,84.90466101694916,-0.4840836012861736,2.8259163987138263,68.75,44.74807856532878,323.6410870399051,59.13665254237288
MACK,"Merrimack Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1070000000.0000001,0.0,9.44,0.0,0.0,0.0,-12.17,9.6,0.0,-13223000,80.69385593220339,12.95021186440678,96.90148305084746,85.19597457627118,1.2357943925233643,1.2357943925233643,56.48834745762712,44.71961286649587,376.94948574785184,82.1239406779661
MAIN,Main Street Capital Corporation,Financial,Diversified Investments,USA,1420000000.0,11.09,9.24,1.3,0.0,7.61,-7.1,28.38,0.0,-302175000,63.45338983050848,13.241525423728815,67.8760593220339,85.22245762711864,21.27992957746479,28.88992957746479,96.74258474576271,44.69114716766296,371.2271641168155,77.51588983050848
MAN,ManpowerGroup Inc.,Services,Staffing & Outsourcing Services,USA,6820000000.0,16.9,0.34,2.43,32.52,1.8,12.75,88.74,0.0,259800000,46.6896186440678,92.29343220338984,41.39300847457627,20.391949152542374,-3.809384164222874,-2.0093841642228742,13.71822033898305,44.662681468830066,259.1489102823894,31.03813559322034
MANH,"Manhattan Associates, Inc.",Technology,Application Software,USA,4400000000.0,48.71,8.32,23.96,42.21,0.0,17.15,59.91,0.0,100952000,10.48728813559322,14.380296610169491,2.1451271186440675,14.698093220338984,-2.2943636363636366,-2.2943636363636366,12.817796610169491,44.634215769997155,99.16281746491241,0.5561440677966102
MANT,ManTech International Corporation,Technology,Security Software & Services,USA,1050000000.0,19.21,0.65,0.89,14.47,3.02,-15.77,27.86,0.0,-7036000,39.22139830508475,83.44809322033898,81.83262711864407,41.04872881355932,0.6700952380952381,3.690095238095238,73.59639830508475,44.605750071164245,363.7529958338761,74.78813559322035
MANU,Manchester United plc,Services,Sporting Activities,United Kingdom,3080000000.0,0.0,5.08,4.17,0.0,0.0,15.29,18.77,0.0,0,80.72033898305084,24.152542372881356,21.90148305084746,85.59322033898306,-0.0,0.0,34.63983050847458,44.57728437233134,291.58469962656864,45.28601694915254
MAR,"Marriott International, Inc.",Services,Lodging,USA,18430000000.0,23.91,1.3,0.0,28.14,1.44,-15.67,69.33,0.0,1850000000,28.866525423728813,64.90995762711864,96.92796610169492,23.781779661016948,-10.037981551817689,-8.59798155181769,2.5953389830508473,44.54881867349844,261.63038647010865,32.04449152542373
MAS,Masco Corporation,Industrial Goods,General Building Materials,USA,9120000000.0,11.59,1.11,0.0,22.2,1.36,14.47,26.53,0.0,326000000,62.3146186440678,69.75635593220339,96.95444915254238,29.6875,-3.574561403508772,-2.214561403508772,13.05614406779661,44.52035297466553,316.2894207712757,55.746822033898304
MASI,Masimo Corporation,Healthcare,Medical Appliances & Equipment,USA,2120000000.0,29.45,3.44,7.51,48.68,0.0,36.16,41.53,0.0,117349000,21.398305084745765,35.248940677966104,9.533898305084746,12.39406779661017,-5.535330188679246,-5.535330188679246,5.69385593220339,44.49188727583262,128.76095507244278,2.0391949152542375
MAT,"Mattel, Inc.",Consumer Goods,Toys & Games,USA,7650000000.0,18.82,1.29,2.98,0.0,6.73,-9.75,22.58,0.0,12686000,40.14830508474576,65.1218220338983,32.9978813559322,85.9375,-0.16583006535947714,6.564169934640523,81.88559322033898,44.46342157699972,350.55452327191495,69.96822033898306
MATW,Matthews International Corporation,Services,Personal Services,USA,1720000000.0,33.36,1.22,2.29,25.15,1.0,7.73,52.04,5350000,17.823093220338983,66.89618644067797,44.01483050847458,26.218220338983052,-0.311046511627907,0.688953488372093,50.13241525423729,50,255.08474576271186,29.55508474576271
MATX,"Matson, Inc.",Services,Shipping,USA,1690000000.0,20.09,0.98,4.36,9.94,1.86,3.19,38.78,0.0,-7500000,37.3146186440678,73.33156779661016,20.709745762711865,47.96080508474576,0.4437869822485207,2.303786982248521,65.28072033898306,44.43495587816681,289.03241350528543,44.27966101694915
MB,"MINDBODY, Inc.",Technology,Application Software,USA,537650000.0,0.0,6.34,1.75,0.0,0.0,0.0,13.74,0.0,80.7468220338983,18.352754237288135,54.92584745762712,86.04343220338984,0.0,34.454449152542374,44.4064901793339,318.9297952640797,57.04449152542372
MBFI,MB Financial Inc.,Financial,Regional - Midwest Banks,USA,2420000000.0,21.93,5.14,1.23,0.0,2.11,4.29,32.24,0.0,5891000,32.8125,23.67584745762712,70.10063559322035,86.09639830508475,-0.24342975206611572,1.8665702479338842,61.784957627118644,44.378024480501,318.84836346355183,56.938559322033896
MBI,MBIA Inc.,Financial,Property & Casualty Insurance,USA,1080000000.0,3.71,1.09,0.29,12.67,0.0,-26.67,6.38,0.0,209000000,71.82203389830508,70.44491525423729,91.4989406779661,43.59110169491525,-19.35185185185185,-19.35185185185185,0.5296610169491525,44.349558781668094,322.23621132404094,58.42161016949152
